province_id,province_name,geo_region,lon,lat,year,gdp_base_year,gdp,ndvi_sum,forest_loss_area_ha,chlor_a_sum_B150_D15,ntl_sum_unfiltered
74,Sulawesi Tenggara,Sulawesi,397190.3801458409,9542800.206458787,2015,2010,72993.33,83248.95,58931.82,27947.44,10735
75,Gorontalo,Sulawesi,1099200.0096692438,10076185.576788655,2015,2010,22068.8,33367.49,19006.38,3143.83,8578
76,Sulawesi Barat,Sulawesi,761054.5619275849,9727296.093275242,2015,2010,25964.43,42652.77,17612.82,4975.56,2016
81,Maluku,Maluku,593396.5592052931,9475778.605365593,2015,2010,24859.2,127779.48,60518.61,54580.4,6534
82,Maluku Utara,Maluku,1006219.3644115332,10023860.23406255,2015,2010,20380.3,102306.01,53963.91,25638.72,4494
71,Sulawesi Utara,Sulawesi,669392.914584,10139547.532010388,2016,2010,74764.66,39122.99,10817.55,3515.5,21137
72,Sulawesi Tengah,Sulawesi,968769.0089234147,9887096.987312408,2016,2010,91014.56,162493.76,91119.51,27299.77,30954
73,Sulawesi Selatan,Sulawesi,851239.2695233305,9586869.686176088,2016,2010,269401.31,90666.52,39223.44,37920.53,61743
74,Sulawesi Tenggara,Sulawesi,397190.3801458409,9542800.206458787,2016,2010,77745.51,82977.78,48921.3,24358.71,11199
75,Gorontalo,Sulawesi,1099200.0096692438,10076185.576788655,2016,2010,23507.21,33341.56,16302.33,3290.98,8457
76,Sulawesi Barat,Sulawesi,761054.5619275849,9727296.093275242,2016,2010,27524.77,43625.99,17088.03,6822.02,2138
81,Maluku,Maluku,593396.5592052931,9475778.605365593,2016,2010,26284.23,127207.9,34242.03,49455.2,6948
82,Maluku Utara,Maluku,1006219.3644115332,10023860.23406255,2016,2010,21556.68,98165.96,31814.91,16786.45,4692
71,Sulawesi Utara,Sulawesi,669392.914584,10139547.532010388,2017,2010,79484.03,38639.33,7272,2801.88,31880
72,Sulawesi Tengah,Sulawesi,968769.0089234147,9887096.987312408,2017,2010,97474.86,158507.38,46454.04,22174.73,38763
73,Sulawesi Selatan,Sulawesi,851239.2695233305,9586869.686176088,2017,2010,288814.17,89115.37,32495.04,33681.38,88254
74,Sulawesi Tenggara,Sulawesi,397190.3801458409,9542800.206458787,2017,2010,83001.69,79150.6,36155.34,21594.03,17412
75,Gorontalo,Sulawesi,1099200.0096692438,10076185.576788655,2017,2010,25090.13,33261.19,11376.36,2930.54,14672
76,Sulawesi Barat,Sulawesi,761054.5619275849,9727296.093275242,2017,2010,29282.49,44893.34,15745.32,5819.41,3568
81,Maluku,Maluku,593396.5592052931,9475778.605365593,2017,2010,27814.05,117420.94,9240.3,28682.85,9462
82,Maluku Utara,Maluku,1006219.3644115332,10023860.23406255,2017,2010,23210.86,97523.44,12556.89,12735.88,7619
71,Sulawesi Utara,Sulawesi,669392.914584,10139547.532010388,2018,2010,84249.72,39792.48,9667.71,3253.36,34447
72,Sulawesi Tengah,Sulawesi,968769.0089234147,9887096.987312408,2018,2010,117555.83,164307.92,47613.96,19059.34,43342
73,Sulawesi Selatan,Sulawesi,851239.2695233305,9586869.686176088,2018,2010,309156.19,88771.51,26960.49,33318.7,105112
74,Sulawesi Tenggara,Sulawesi,397190.3801458409,9542800.206458787,2018,2010,88310.05,80396.72,33624.27,19915.49,22064
75,Gorontalo,Sulawesi,1099200.0096692438,10076185.576788655,2018,2010,26719.27,33904.82,11497.59,3089.5,16577
76,Sulawesi Barat,Sulawesi,761054.5619275849,9727296.093275242,2018,2010,31114.14,44685.47,15922.17,5040.06,4305
81,Maluku,Maluku,593396.5592052931,9475778.605365593,2018,2010,29457.13,124831.77,14395.23,38658.31,9893
82,Maluku Utara,Maluku,1006219.3644115332,10023860.23406255,2018,2010,25034.08,99611.76,14779.71,15884.12,8773
71,Sulawesi Utara,Sulawesi,669392.914584,10139547.532010388,2019,2010,89009.26,39771.19,11827.8,3970.81,38886
72,Sulawesi Tengah,Sulawesi,968769.0089234147,9887096.987312408,2019,2010,127935.06,162820.36,58570.02,24772.04,46327
73,Sulawesi Selatan,Sulawesi,851239.2695233305,9586869.686176088,2019,2010,330506.38,89824.66,34566.93,40160.2,117515
74,Sulawesi Tenggara,Sulawesi,397190.3801458409,9542800.206458787,2019,2010,94053.52,79818.72,49154.58,25612.03,29621
75,Gorontalo,Sulawesi,1099200.0096692438,10076185.576788655,2019,2010,28429.97,33840.1,16887.33,3165.53,20810
76,Sulawesi Barat,Sulawesi,761054.5619275849,9727296.093275242,2019,2010,32843.81,45388.73,16409.07,6032.55,5217
81,Maluku,Maluku,593396.5592052931,9475778.605365593,2019,2010,31049.45,124470.6,24137.46,44147.82,11317
82,Maluku Utara,Maluku,1006219.3644115332,10023860.23406255,2019,2010,26597.55,100250.29,17039.61,18773.9,13106
71,Sulawesi Utara,Sulawesi,669392.914584,10139547.532010388,2020,2010,88126.37,38916.58,4024.62,2739.16,42194
72,Sulawesi Tengah,Sulawesi,968769.0089234147,9887096.987312408,2020,2010,134152.69,157881.74,33425.19,21222.07,48130
73,Sulawesi Selatan,Sulawesi,851239.2695233305,9586869.686176088,2020,2010,328154.57,89869.36,19604.97,30731.49,129966
74,Sulawesi Tenggara,Sulawesi,397190.3801458409,9542800.206458787,2020,2010,93445.72,77454.14,24910.2,19349.47,38769
75,Gorontalo,Sulawesi,1099200.0096692438,10076185.576788655,2020,2010,28425.38,33305.79,4214.43,2588.84,22704
76,Sulawesi Barat,Sulawesi,761054.5619275849,9727296.093275242,2020,2010,32074.02,44329.84,10655.91,5324.89,5507
81,Maluku,Maluku,593396.5592052931,9475778.605365593,2020,2010,30765.89,121532.06,7408.98,38242.21,11268
82,Maluku Utara,Maluku,1006219.3644115332,10023860.23406255,2020,2010,28031.44,98286.24,8876.88,12364.07,15139
71,Sulawesi Utara,Sulawesi,669392.914584,10139547.532010388,2021,2010,91790.69,38311.11,3692.79,2790.41,48160
72,Sulawesi Tengah,Sulawesi,968769.0089234147,9887096.987312408,2021,2010,149815.86,156717.23,28423.89,21753.65,64645
73,Sulawesi Selatan,Sulawesi,851239.2695233305,9586869.686176088,2021,2010,343395.41,87815.69,14566.5,30105.56,161345
74,Sulawesi Tenggara,Sulawesi,397190.3801458409,9542800.206458787,2021,2010,97275.32,80487.12,17032.32,19193.71,51477
75,Gorontalo,Sulawesi,1099200.0096692438,10076185.576788655,2021,2010,29107.91,33825.08,3151.08,2852.46,27275
76,Sulawesi Barat,Sulawesi,761054.5619275849,9727296.093275242,2021,2010,32898.3,44548,12195.27,5579.09,10387
81,Maluku,Maluku,593396.5592052931,9475778.605365593,2021,2010,31881.23,120444.49,4899.51,39771.95,14550
82,Maluku Utara,Maluku,1006219.3644115332,10023860.23406255,2021,2010,32738.67,91766.74,7225.11,11679.17,18342
71,Sulawesi Utara,Sulawesi,669392.914584,10139547.532010388,2022,2010,96768.15,38987.77,3560.4,2546.36,49062
72,Sulawesi Tengah,Sulawesi,968769.0089234147,9887096.987312408,2022,2010,172624.82,160502.46,31280.22,19980.01,79108
73,Sulawesi Selatan,Sulawesi,851239.2695233305,9586869.686176088,2022,2010,360912.82,93156.48,24365.07,31543.98,175073
74,Sulawesi Tenggara,Sulawesi,397190.3801458409,9542800.206458787,2022,2010,102656.43,81866.2,18311.4,18732.62,61360
75,Gorontalo,Sulawesi,1099200.0096692438,10076185.576788655,2022,2010,30282.21,34268.26,4065.03,2774.62,29545
76,Sulawesi Barat,Sulawesi,761054.5619275849,9727296.093275242,2022,2010,33643.02,44017.29,12698.46,6981.02,12366
81,Maluku,Maluku,593396.5592052931,9475778.605365593,2022,2010,33575.07,128016.66,6655.59,38958.12,16886
82,Maluku Utara,Maluku,1006219.3644115332,10023860.23406255,2022,2010,40248.38,97442.65,7606.98,13672.48,23335
71,Sulawesi Utara,Sulawesi,669392.914584,10139547.532010388,2023,2010,102070.48,40959.03,8424.45,3399.55,53950
72,Sulawesi Tengah,Sulawesi,968769.0089234147,9887096.987312408,2023,2010,193181.36,166043.44,57809.79,22474.89,86368
73,Sulawesi Selatan,Sulawesi,851239.2695233305,9586869.686176088,2023,2010,377207.78,92622.59,48589.29,40213.79,186503
74,Sulawesi Tenggara,Sulawesi,397190.3801458409,9542800.206458787,2023,2010,108152.98,80939.12,53367.57,22858.15,66086
75,Gorontalo,Sulawesi,1099200.0096692438,10076185.576788655,2023,2010,31643.79,34799.99,14095.62,3071.17,31431
76,Sulawesi Barat,Sulawesi,761054.5619275849,9727296.093275242,2023,2010,35402.56,46854.13,19562.31,5905.85,13181
81,Maluku,Maluku,593396.5592052931,9475778.605365593,2023,2010,35322.9,127847.4,23816.88,45732.08,18048
82,Maluku Utara,Maluku,1006219.3644115332,10023860.23406255,2023,2010,48494.74,102424.57,14529.87,15412.56,28883
71,Sulawesi Utara,Sulawesi,669392.914584,10139547.532010388,2024,2010,107575.01,40709.23,4774.59,3140.95,52686
72,Sulawesi Tengah,Sulawesi,968769.0089234147,9887096.987312408,2024,2010,212281.54,168624.36,36835.38,21602.7,86578
73,Sulawesi Selatan,Sulawesi,851239.2695233305,9586869.686176088,2024,2010,396141.74,94538.66,14193.18,40881.68,184130
74,Sulawesi Tenggara,Sulawesi,397190.3801458409,9542800.206458787,2024,2010,113989.49,83032.04,23666.04,25982.19,65788
75,Gorontalo,Sulawesi,1099200.0096692438,10076185.576788655,2024,2010,32949.62,35116.13,6591.24,3750.1,30738
76,Sulawesi Barat,Sulawesi,761054.5619275849,9727296.093275242,2024,2010,37088.07,47781.29,10447.29,5871.53,13145
81,Maluku,Maluku,593396.5592052931,9475778.605365593,2024,2010,37209.36,127100.88,7256.61,43430.51,17384
82,Maluku Utara,Maluku,1006219.3644115332,10023860.23406255,2024,2010,55152.33,99493.02,8725.59,13894.81,28506
71,Sulawesi Utara,Sulawesi,669392.914584,10139547.532010388,2002,2000,11226.5,40266.71,9025.74,1862.86,21650
72,Sulawesi Tengah,Sulawesi,968769.0089234147,9887096.987312408,2002,2000,9794.89,171137.96,39010.41,11544.29,8039
73,Sulawesi Selatan,Sulawesi,851239.2695233305,9586869.686176088,2002,2000,30873.41,92758.84,15010.2,18712,44659
