Intercept,log_ntl_sum_unfiltered,log_ndvi_sum,log_forest_loss_area_ha,log_chlor_a_sum_B150_D15,yhat,residual,Intercept_SE,log_ntl_sum_unfiltered_SE,log_ndvi_sum_SE,log_forest_loss_area_ha_SE,log_chlor_a_sum_B150_D15_SE,Intercept_TV,log_ntl_sum_unfiltered_TV,log_ndvi_sum_TV,log_forest_loss_area_ha_TV,log_chlor_a_sum_B150_D15_TV,regency_city_id,year
5.838546592043293,0.41162385401670337,-0.0982616696750962,-0.009943460458076177,0.06489160394565185,8.225096547906622,0.1031371039754756,0.15421708065410036,0.010766489688501513,0.008882609138839264,0.009223444416054964,0.001726620436571605,51.43667346108601,38.231946151986094,-11.062253009135167,-1.078063683103885,37.583016261814485,71.01,2015
6.145072693018845,0.37056440524307993,-0.09679580109390239,-0.009352822873205163,0.06538442598809256,8.795930601841325,0.34714433434280245,0.148633751049799,0.01636215547378221,0.004576928886935014,0.00443356326195354,5.261952910506489e-4,53.857429180783306,22.647652128526175,-21.148635577495863,-2.109549885859545,124.25885807062267,71.02,2015
6.418426039882888,0.34215867060124144,-0.1009693069260397,-0.013436340699399292,0.06170757794167819,7.611406251342229,0.17999259318181782,0.14926157124499936,0.01915712030446915,0.007758717122343432,0.07443801741561086,0.00624085047152746,53.714627075286536,17.86065260139435,-13.013660033469948,-0.1805037421184927,9.887687298903533,71.03,2015
6.498922216683944,0.32150897331656786,-0.09934960890595576,-0.0128179913358591,0.05701202522890493,7.337874785227338,-0.15321530696529795,0.15264346346246846,0.025341205474179448,2.831973983416351e-4,0.014004240698710164,0.010163597494583218,52.13364838519408,12.68720123216547,-350.8139887150566,-0.9152935608311615,5.60943359467846,71.04,2015
6.015429050623226,0.3867754333669138,-0.09755022282472639,-0.009709188039161808,0.06548643036471302,8.151929539816924,0.33758408249257066,0.15418857258030114,0.006410404671526205,0.002664925139456471,6.184081687796895e-4,0.0026237528020559946,51.672944153431025,60.33557211838692,-36.60523944196886,-15.700290729213744,24.9590701964748,71.05,2015
6.221693275038551,0.3621299373387604,-0.09726387158181354,-0.009891357261696689,0.06468175042038618,8.864825011519427,0.026560003545037958,0.1461176549465704,0.01684682219231472,0.006289389590548084,0.001550483597696224,0.002192733423970717,54.87098332628897,21.49544485036228,-15.464755391840429,-6.3795304099918875,29.49822797121278,71.06,2015
6.056756460853226,0.38045449076933385,-0.09651177440259119,-0.008974861163439405,0.06546918913505279,8.064797257405893,-0.879258738151222,0.15300597334741314,0.0023105662351961005,0.0028842925206266448,0.006648735358366992,0.0032629629727506694,52.175288294994196,164.65855207870473,-33.46116030617551,-1.3498598875867631,20.06433713216869,71.07,2015
5.853858241108831,0.41076333622827826,-0.10064310477992694,-0.011712806816512591,0.06390907484872653,7.791672183399383,-0.6824465287845305,0.15669158396507518,0.001479022867160489,0.0036294678437673537,0.012257587247877826,2.893669077534099e-4,50.446615578625575,277.7261564703761,-27.72943833977059,-0.9555556554199071,220.85827071555806,71.08,2015
6.375047133711385,0.3457971890905407,-0.09897133189796115,-0.011674434443742212,0.06233135120338122,7.648348717091866,0.31146169137653157,0.14334910108041035,0.021579972906079405,0.027549241450145673,0.033168053914000656,0.010457978181087717,56.009972376062386,16.023986248524174,-3.592524755248309,-0.3519782762658344,5.96017223636034,71.09,2015
5.984112943807133,0.388745631903539,-0.09630567464156109,-0.00860312944316067,0.06537863210652368,7.880277953403608,-0.9338886718107027,0.15204827226362927,0.002615055598686567,0.0022812919730345583,0.002627787690511945,0.0020646417794581186,52.386307644773716,148.65673681997035,-42.21540941708394,-3.2739058312144738,31.665847682149888,71.10,2015
5.803114787063775,0.4149955662744974,-0.09789983445287236,-0.009529273293754439,0.06435345669856332,7.462014550217067,-0.1299069874082841,0.15394993827540177,0.011956823586967891,0.004606017452533002,0.003930088888362189,0.003936686872946127,51.44589379363189,34.70784387308464,-21.25476845491195,-2.424696632682431,16.34711085121247,71.11,2015
6.172489731861024,0.3686152366110841,-0.09774777200288903,-0.01016942565124241,0.06534200635021584,9.25922987967591,0.6328523790616156,0.14669653519895015,0.019002321885133976,0.07920190316196042,0.01852405063863908,0.006404336411020677,54.580698006694924,19.398431351668748,-1.2341593838093015,-0.5489849844196677,10.202775456606924,71.71,2015
6.271373326165037,0.3556653153592171,-0.09651159187655203,-0.009389159516299619,0.06366103465072831,8.770713565883284,0.34144490684653483,0.1449315274853476,0.014007479409656336,0.017291738217297396,0.029165172841866704,0.002684875848647618,55.40853956355831,25.39110035129033,-5.581370170178083,-0.32193052882654094,23.710978920233728,71.72,2015
6.140507546498091,0.3718644306560623,-0.09723448071963454,-0.009694402492490867,0.06540295097277528,8.136378209299972,-0.32669890715290606,0.14830840492609906,0.007692170298452594,0.03288810691452069,0.029795494441274682,Inf,53.95972332112863,48.34323945361284,-2.9565241007138594,-0.3253647128292505,0,71.73,2015
5.886155194213606,0.40266383299862696,-0.097111866501147,-0.009146244272193632,0.0652374683800503,8.165200236535986,-0.6390428751462194,0.15487000738986706,0.008298616019299284,0.044980948403157625,0.04338939655092824,Inf,51.280832795819734,48.52180557121704,-2.158955512248155,-0.21079445669308264,0,71.74,2015
6.976135568093244,0.21806890394447817,-0.07129731796922602,0.008030217259897877,0.03719076545587345,8.595381504860137,-0.9026567593314132,0.14444129944174217,0.02118615718473187,0.014192409868493398,0.015692089192263312,0.005046639575669483,55.671355459362495,10.292989995450089,-5.023623093601835,0.5117366567006911,7.369411842917226,72.01,2015
6.901892764651829,0.28713728223280965,-0.06429957999991426,0.013362397457996958,0.04493106255942604,8.767143765382588,0.5838364243929046,0.14515383463223863,0.008157785010579245,0.01427508281215612,0.011563329922472493,0.007081165523812338,58.80722801023223,35.197946729466636,-4.504322731154958,1.1555838627442523,6.3451507253054835,72.02,2015
6.770269486829797,0.33131319119914154,-0.08087373489748469,0.002423677942343228,0.055684709796248295,8.670717138593789,0.5807411841032923,0.20157421429579245,0.006910653171451147,0.012041378607120932,0.010509579316204703,1.4533030213044e-4,42.34775418351141,47.942384457643115,-6.716318582463493,0.23061607600279138,383.15966443301653,72.03,2015
6.649060210859812,0.30637389203770693,-0.08753956364457934,-0.003688903018890096,0.053780478213304665,7.951177468944822,0.5870352560954775,0.1611065179759479,0.0036720485517744024,0.01022497001316879,0.012359162938230264,0.002007636652845252,50.604481532764396,83.43405260523076,-8.56135162566117,-0.2984751505685965,26.78795395426069,72.04,2015
